Stu_ID,grade,class,gender,Math,English,Science,Marketing,Writing
10101,1,A,M,55,84,49,40,59
10102,1,A,M,29,94,27,87,57
10103,1,A,F,28,80,27,41,100
10104,1,A,F,45,74,40,88,75
10105,1,A,F,28,69,28,91,10
10106,1,A,M,86,51,75,59,92
10107,1,A,M,47,52,43,81,79
10108,1,A,F,80,67,100,85,90
10109,1,A,M,30,32,27,86,52
10110,1,A,M,94,39,84,67,28
10111,1,A,M,27,61,27,29,100
10112,1,A,M,88,39,75,70,87
10113,1,A,M,27,100,26,80,28
10114,1,A,F,35,70,33,51,34
10115,1,A,F,60,61,52,85,59
10116,1,A,F,58,66,52,72,94
10117,1,A,M,25,83,24,81,50
10118,1,A,F,54,82,48,42,91
10119,1,A,M,98,35,86,55,42
10120,1,A,F,50,91,43,71,95
10121,1,A,F,60,99,54,77,66
10122,1,A,M,91,84,78,100,56
10123,1,A,M,51,41,45,37,27
10124,1,A,F,76,63,65,47,28
10125,1,A,F,62,96,54,55,59
10126,1,A,M,29,29,27,71,72
10127,1,A,F,56,73,51,63,86
10128,1,A,F,92,59,79,96,83
10129,1,A,F,44,93,39,38,69
10130,1,A,F,48,49,44,67,87
10131,1,A,M,69,59,61,31,43
10132,1,A,F,93,54,80,96,98
10133,1,A,M,84,46,74,32,63
10134,1,A,M,49,75,43,86,80
10135,1,A,F,36,90,33,52,55
10136,1,A,F,35,95,33,74,68
10137,1,A,F,77,38,68,69,89
10138,1,A,M,93,91,80,43,36
10139,1,A,F,88,58,75,62,99
10140,1,A,F,45,83,41,61,62
10201,1,B,M,93,61,82,77,76
10202,1,B,F,70,86,61,83,79
10203,1,B,F,44,96,40,61,26
10204,1,B,M,44,70,40,62,33
10205,1,B,F,85,46,74,33,30
10206,1,B,M,46,60,41,79,85
10207,1,B,F,85,97,74,32,38
10208,1,B,M,58,39,51,35,40
10209,1,B,M,64,63,58,75,47
10210,1,B,M,47,77,42,78,42
10211,1,B,F,92,26,80,52,26
10212,1,B,M,44,69,41,72,51
10213,1,B,M,97,50,84,82,49
